date,lat,description,pubDate,title,content,link,guid,long
"2015-09-17T00:00:00-04:00","42.4506","<p>Go beyond the basics and ""dig deeper"" into the art and science of composting in this three-class series:<br />Class 1 - how it works / the composting process<br />Class 2 - testing and use<br />Class 3 - troubleshooting and advanced techniques<br />Come to one class or them all. Go home with some new ideas, and with a more complete understanding of how composting works. We guarantee better home composting just in time for the fall leaf season!</p><p><a href=""http://events.cornell.edu/event/advanced_compost_series"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20Advanced%20Compost%20series&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AGo%20beyond%20the%20basics%20and%20%22dig%20deeper%22%20into%20the%20art%20and%20science%20of%20composting%20in%20this%20three-class%20series:%0AClass%201%20-%20how%20it%20works%20/%20the%20composting%20process%0AClass%202%20-%20testing%20and%20use%0AClass%203%20-%20troubleshooting%20and%20advanced%20techniques%0ACome%20to%20one%20class%20or%20them%20all.%20Go%20home%20with%20some%20new%20ideas,%20and%20with%20a%20more%20complete%20understanding%20of%20how%20composting%20works.%20We%20guarantee%20better%20home%20composting%20just%20in%20time%20for%20the%20fall%20leaf%20season!%0A%0Ahttp://events.cornell.edu/event/advanced_compost_series%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 00:00:00 -0400","Sep 17, 2015: Advanced Compost series at CCE-Tompkins Education Center",None,"http://events.cornell.edu/event/advanced_compost_series","tag:localist.com,2008:EventInstance_1535957","-76.503502"
"2015-09-17T00:00:00-04:00",None,"<p>Get together with friends at the Human Ecology Young Alumni ""Welcome to Boston"" Party! Have you been living here a while or just moved to the area? Are you interested in learning more about life in Boston? Want to meet fellow young alums and learn more about staying connected to Human Ecology and Cornell? Then this is the event for you!Please join the Human Ecology Young Alumni Council and other HumEc alumni for our kickoff event in Boston! A casual event with good food, drink, and friends! We have reserved a table for 15 people to join for a small dinner. RSVP required - first-come, first served!What: ""Welcome to Boston"" DinnerWhen:  Tuesday, November 12, 2013 at 8:00pmCost:   Free for Human Ecology alumniWhere: Grafton Street, 1230 Massachusetts Ave, Cambridge, MA 02138Why: Get acquainted with fellow HumEc alumni living in Boston and learn more about living and working here.For more information about this event please contact HEYA Council members: Rachel Barry <a href=""mailto:rachel.lynn.barry@gmail.comTracey"">rachel.lynn.barry@gmail.comTracey</a> Hsu <a href=""mailto:traceyihsu@gmail.comMarion"">traceyihsu@gmail.comMarion</a> Robine <a href=""mailto:mr545@cornell.edu"">mr545@cornell.edu</a></p><p><a href=""http://events.cornell.edu/event/just_juniors_17_-_two_career_networking_events_just_for_the_human_ecology_class_of_2017"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20Just%20Juniors%20'17%20-%20two%20career%20networking%20events%20just%20for%20the%20Human%20Ecology%20Class%20of%202017!&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AGet%20together%20with%20friends%20at%20the%20Human%20Ecology%20Young%20Alumni%20%22Welcome%20to%20Boston%22%20Party!%C3%82%20Have%20you%20been%20living%20here%20a%20while%20or%20just%20moved%20to%20the%20area?%20Are%20you%20interested%20in%20learning%20more%20about%20life%20in%20Boston?%20Want%20to%20meet%20fellow%20young%20alums%20and%20learn%20more%20about%20staying%20connected%20to%20Human%20Ecology%20and%20Cornell?%20Then%20this%20is%20the%20event%20for%20you!Please%20join%20the%20Human%20Ecology%20Young%20Alumni%20Council%20and%20other%20HumEc%20alumni%20for%20our%20kickoff%20event%20in%20Boston!%20A%20casual%20event%20with%20good%20food,%20drink,%20and%20friends!%20We%20have%20reserved%20a%20table%20for%2015%20people%20to%20join%20for%20a%20small%20dinner.%20RSVP%20required%20-%20first-come,%20first%20served!What:%20%22Welcome%20to%20Boston%22%20DinnerWhen:%C3%82%20%20Tuesday,%20November%2012,%202013%20at%208:00pmCost:%C3%82%20%C3%82%20%20Free%20for%20Human%20Ecology%20alumniWhere:%20Grafton%20Street,%201230%20Massachusetts%20Ave,%20Cambridge,%20MA%2002138Why:%20Get%20acquainted%20with%20fellow%20HumEc%20alumni%20living%20in%20Boston%20and%20learn%20more%20about%20living%20and%20working%20here.For%20more%20information%20about%20this%20event%20please%20contact%20HEYA%20Council%20members:%C3%82%20Rachel%20Barry%20rachel.lynn.barry@gmail.comTracey%20Hsu%20traceyihsu@gmail.comMarion%20Robine%20mr545@cornell.edu%0A%0Ahttp://events.cornell.edu/event/just_juniors_17_-_two_career_networking_events_just_for_the_human_ecology_class_of_2017%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 00:00:00 -0400","Sep 17, 2015: Just Juniors '17 - two career networking events just for the Human Ecology Class of 2017! at Ithaca, NY",None,"http://events.cornell.edu/event/just_juniors_17_-_two_career_networking_events_just_for_the_human_ecology_class_of_2017","tag:localist.com,2008:EventInstance_1512721",None
"2015-09-17T00:00:00-04:00",None,"<p>An informal opportunity for upperclass women to join those Panhellenic sororities eligible to give bids in the fall. It is usually a limited number.</p><p><a href=""http://events.cornell.edu/event/phc_fall_recruitment"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20PHC%20fall%20recruitment&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AAn%20informal%20opportunity%20for%20upperclass%20women%20to%20join%20those%20Panhellenic%20sororities%20eligible%20to%20give%20bids%20in%20the%20fall.%20It%20is%20usually%20a%20limited%20number.%0A%0Ahttp://events.cornell.edu/event/phc_fall_recruitment%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 00:00:00 -0400","Sep 17, 2015: PHC fall recruitment",None,"http://events.cornell.edu/event/phc_fall_recruitment","tag:localist.com,2008:EventInstance_1463803",None
"2015-09-17T08:00:00-04:00","42.450478","<p>The 10th Barbara L. Kuhlman Student Scholars Exhibition in the Deparment of Fiber Science & Apparel Design.</p><p><a href=""http://events.cornell.edu/event/art_306"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20...Art...&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AThe%2010th%20Barbara%20L.%20Kuhlman%20Student%20Scholars%E2%80%99%20Exhibition%20in%20the%20Deparment%20of%20Fiber%20Science%20&%20Apparel%20Design.%0A%0Ahttp://events.cornell.edu/event/art_306%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 08:00:00 -0400","Sep 17, 2015: ...Art... at Human Ecology Building (HEB)",None,"http://events.cornell.edu/event/art_306","tag:localist.com,2008:EventInstance_1544230","-76.478523"
"2015-09-17T08:00:00-04:00","42.450478","<p>Heavy Metal: The Malleability of Fashion examines utilization of metal as fabric, embellishment, structure and cultural symbol. This exhibit features designs by Paul Poiret, Paco Rabanne, Charles Frederick Worth and Rudi Gernreich alongside bustles and corsets, styles of Heavy Metal music culture, & everyday metal clothing.</p><p>The Exhibit is curated by Samantha Stern ('17) and supported by the Charlotte A. Jirousek Undergraduate Research Fellowship in the Cornell Costume and Textile Collection and the Department of Fiber Science and Apparel Design.</p><p><a href=""http://events.cornell.edu/event/heavy_metal_the_malleability_of_fashion"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20Heavy%20Metal:%20The%20Malleability%20of%20Fashion&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AHeavy%20Metal:%20The%20Malleability%20of%20Fashion%20examines%20utilization%20of%20metal%20as%20fabric,%20embellishment,%20structure%20and%20cultural%20symbol.%20This%20exhibit%20features%20designs%20by%20Paul%20Poiret,%20Paco%20Rabanne,%20Charles%20Frederick%20Worth%20and%20Rudi%20Gernreich%20alongside%20bustles%20and%20corsets,%20styles%20of%20Heavy%20Metal%20music%20culture,%20&%20everyday%20metal%20clothing.%0A%0AThe%20Exhibit%20is%20curated%20by%20Samantha%20Stern%20('17)%20and%20supported%20by%20the%20Charlotte%20A.%20Jirousek%20Undergraduate%20Research%20Fellowship%20in%20the%20Cornell%20Costume%20and%20Textile%20Collection%20and%20the%20Department%20of%20Fiber%20Science%20and%20Apparel%20Design.%0A%0Ahttp://events.cornell.edu/event/heavy_metal_the_malleability_of_fashion%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 08:00:00 -0400","Sep 17, 2015: Heavy Metal: The Malleability of Fashion at Human Ecology Building (HEB)",None,"http://events.cornell.edu/event/heavy_metal_the_malleability_of_fashion","tag:localist.com,2008:EventInstance_1514351","-76.478523"
"2015-09-17T08:00:00-04:00","42.446449","<p>The oldest conference of its kind in the U.S., the Institute for Internet Culture, Policy, and Law (ICPL) at Cornell University is celebrating its 20th anniversary with a sweeping look backward at its own beginnings and a thoughtful look forward at the legal, policy, and social concerns that the Internet has raised.</p><p>Organized by Tracy Mitrano, former director of information technology policy at Cornell, this cutting-edge institute on the Cornell campus will feature, among its distinguished presenters, ICPL founders Steve Worona and Margie Hodges Shaw, as well as charter members Steve McDonald, Bob Hamilton, and David Post. Doug Lederman, cofounder of Inside Higher Ed, will offer the keynote.</p><p>ICPL is an intimate intellectual environment, with the number of participants limited to 50 to allow for meaningful, in-depth exploration of topics and the dynamic exchange of ideas and perspectives. Designed for faculty, university administrators, academic librarians, and IT, legal, policy, and student life professionals, ICPL welcomes individuals from all disciplines who are interested in the culture, law, and politics of the Internet.</p><p>For more information, visit icpl.cornell.edu, call 607.255.7259, or e-mail <a href=""mailto:cusp@cornell.edu"">cusp@cornell.edu</a>.</p><p><a href=""http://events.cornell.edu/event/icpl"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20Institute%20for%20Internet%20Culture,%20Policy,%20and%20Law&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AThe%20oldest%20conference%20of%20its%20kind%20in%20the%20U.S.,%20the%20Institute%20for%20Internet%20Culture,%20Policy,%20and%20Law%20(ICPL)%20at%20Cornell%20University%20is%20celebrating%20its%2020th%20anniversary%20with%20a%20sweeping%20look%20backward%20at%20its%20own%20beginnings%20and%20a%20thoughtful%20look%20forward%20at%20the%20legal,%20policy,%20and%20social%20concerns%20that%20the%20Internet%20has%20raised.%0A%0AOrganized%20by%20Tracy%20Mitrano,%20former%20director%20of%20information%20technology%20policy%20at%20Cornell,%20this%20cutting-edge%20institute%20on%20the%20Cornell%20campus%20will%20feature,%20among%20its%20distinguished%20presenters,%20ICPL%20founders%20Steve%20Worona%20and%20Margie%20Hodges%20Shaw,%20as%20well%20as%20charter%20members%20Steve%20McDonald,%20Bob%20Hamilton,%20and%20David%20Post.%20Doug%20Lederman,%20cofounder%20of%20Inside%20Higher%20Ed,%20will%20offer%20the%20keynote.%0A%0AICPL%20is%20an%20intimate%20intellectual%20environment,%20with%20the%20number%20of%20participants%20limited%20to%2050%20to%20allow%20for%20meaningful,%20in-depth%20exploration%20of%20topics%20and%20the%20dynamic%20exchange%20of%20ideas%20and%20perspectives.%20Designed%20for%20faculty,%20university%20administrators,%20academic%20librarians,%20and%20IT,%20legal,%20policy,%20and%20student%20life%20professionals,%20ICPL%20welcomes%20individuals%20from%20all%20disciplines%20who%20are%20interested%20in%20the%20culture,%20law,%20and%20politics%20of%20the%20Internet.%0A%0AFor%20more%20information,%20visit%20icpl.cornell.edu,%20call%20607.255.7259,%20or%20e-mail%20cusp@cornell.edu.%0A%0Ahttp://events.cornell.edu/event/icpl%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 08:00:00 -0400","Sep 17, 2015: Institute for Internet Culture, Policy, and Law at Statler Hotel",None,"http://events.cornell.edu/event/icpl","tag:localist.com,2008:EventInstance_1392167","-76.482262"
"2015-09-17T08:00:00-04:00","42.448719","<p>Two artists, two media, one gloriously diverse subject.<br />In this collaborative exhibit in the Mann Library Gallery, digital photographer Nancy Ridenour and scientific illustrator and artist Paula DiSanto Bensadoun explore the variety and beauty of the birds of coastal Florida. On display August 31 through September 27, with an artists reception on Friday, September 11 from 4-6pm.</p><p><a href=""http://events.cornell.edu/event/wingbeats"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20Wingbeats&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0ATwo%20artists,%20two%20media,%20one%20gloriously%20diverse%20subject.%0AIn%20this%20collaborative%20exhibit%20in%20the%20Mann%20Library%20Gallery,%20digital%20photographer%20Nancy%20Ridenour%20and%20scientific%20illustrator%20and%20artist%20Paula%20DiSanto%20Bensadoun%20explore%20the%20variety%20and%20beauty%20of%20the%20birds%20of%20coastal%20Florida.%20On%20display%20August%2031%20through%20September%2027,%20with%20an%20artists%E2%80%99%20reception%20on%20Friday,%20September%2011%20from%204-6pm.%0A%0Ahttp://events.cornell.edu/event/wingbeats%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 08:00:00 -0400","Sep 17, 2015: Wingbeats at Mann Library",None,"http://events.cornell.edu/event/wingbeats","tag:localist.com,2008:EventInstance_1512194","-76.476494"
"2015-09-17T09:00:00-04:00","42.447777","<p>Cornell University Librarys new exhibition, 150 Ways to Say Cornell, celebrates Cornells Sesquicentennial.</p><p>On April 27, 1865, New York State Governor Reuben E. Fenton, in his chambers in the old State Capitol in Albany, signed the bill that constitutes the charter of Cornell University. The ideals of the founders, Ezra Cornell and Andrew Dickson White, reflected in this Charter, were remarkable in their day and constituted a truly radical educational experiment for the 1860s. This exhibition provides a lively tour through Cornell's inspiring history. Highlights include the Cornell University Charter, the original telegraph receiver, the Cornell seal, building plans, Big Red sheet music, campus panoramas, and much more. On view until September 30, 2015.</p><p>The Samuel L. Hirshland Gallery is open Monday through Friday, 9 a.m. to 5 p.m. Click on ""see more dates"" at the top, for more information, or check the library website for updates and Saturday hours at <a href=""http://www.library.cornell.edu/libraries"">www.library.cornell.edu/libraries</a>.</p><p><a href=""http://events.cornell.edu/event/150_ways_to_say_cornell"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20150%20Ways%20to%20Say%20Cornell&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0ACornell%20University%20Library%E2%80%99s%20new%20exhibition,%20150%20Ways%20to%20Say%20Cornell,%20celebrates%20Cornell%E2%80%99s%20Sesquicentennial.%0A%0AOn%20April%2027,%201865,%20New%20York%20State%20Governor%20Reuben%20E.%20Fenton,%20in%20his%20chambers%20in%20the%20old%20State%20Capitol%20in%20Albany,%20signed%20the%20bill%20that%20constitutes%20the%20charter%20of%20Cornell%20University.%20The%20ideals%20of%20the%20founders,%20Ezra%20Cornell%20and%20Andrew%20Dickson%20White,%20reflected%20in%20this%20Charter,%20were%20remarkable%20in%20their%20day%20and%20constituted%20a%20truly%20radical%20educational%20experiment%20for%20the%201860s.%20This%20exhibition%20provides%20a%20lively%20tour%20through%20Cornell's%20inspiring%20history.%20Highlights%20include%20the%20Cornell%20University%20Charter,%20the%20original%20telegraph%20receiver,%20the%20Cornell%20seal,%20building%20plans,%20Big%20Red%20sheet%20music,%20campus%20panoramas,%20and%20much%20more.%20On%20view%20until%20September%2030,%202015.%0A%0AThe%20Samuel%20L.%20Hirshland%20Gallery%20is%20open%20Monday%20through%20Friday,%209%20a.m.%20to%205%20p.m.%20Click%20on%20%22see%20more%20dates%22%20at%20the%20top,%20for%20more%20information,%20or%20check%20the%20library%20website%20for%20updates%20and%20Saturday%20hours%20at%20www.library.cornell.edu/libraries.%0A%0Ahttp://events.cornell.edu/event/150_ways_to_say_cornell%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 09:00:00 -0400","Sep 17, 2015: 150 Ways to Say Cornell at Kroch Library",None,"http://events.cornell.edu/event/150_ways_to_say_cornell","tag:localist.com,2008:EventInstance_972978","-76.484535"
"2015-09-17T09:00:00-04:00","42.447021","<p>Boyce Thompson Institute is pleased to present the botanical mandalas of local collage artist Daniel McPheeters, now on display,  9-5 weekdays.</p><p><a href=""http://events.cornell.edu/event/artbti_botanical_mandalas_by_daniel_mcpheeters"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20ART@BTI,%20botanical%20mandalas%20by%20Daniel%20McPheeters&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0ABoyce%20Thompson%20Institute%20is%20pleased%20to%20present%20the%20botanical%20mandalas%20of%20local%20collage%20artist%20Daniel%20McPheeters,%20now%20on%20display,%20%209-5%20weekdays.%0A%0Ahttp://events.cornell.edu/event/artbti_botanical_mandalas_by_daniel_mcpheeters%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 09:00:00 -0400","Sep 17, 2015: ART@BTI, botanical mandalas by Daniel McPheeters at Boyce Thompson Institute",None,"http://events.cornell.edu/event/artbti_botanical_mandalas_by_daniel_mcpheeters","tag:localist.com,2008:EventInstance_1557258","-76.467751"
"2015-09-17T09:00:00-04:00","42.447777","<p>On January 31, 1865 the United States Congress passed the 13th Amendment, ending slavery in America. President Lincoln would not live to see the final ratification of the Amendment. He was assassinated on April 14 and a shocked nation mourned his death. </p><p>Cornell University Library marks the 150th anniversary of these historic events with an exhibition featuring Cornells manuscript of the 13th Amendment to the United States Constitution--one of only 14 copies signed by Lincoln--together with other rare documents and artifacts associated with Lincolns funeral.</p><p>Join us on September 19th, Homecoming Weekend, for a special viewing of this exhibit and 150 Ways to Say Cornell in the Hirshland Gallery. Rare and Manuscript Collections curators will offer tours between 10 a.m. and 1 p.m.</p><p><a href=""http://events.cornell.edu/event/lincolns_unfinished_work_5289"">View on site</a> | <a href=""mailto:?subject=I%20found%20an%20interesting%20event:%20Lincoln%E2%80%99s%20Unfinished%20Work&amp;body=I%20found%20an%20interesting%20event%20you%20may%20like:%0A%0A%0ADate:%20Sep%2017,%202015%0A%0ADescription:%0AOn%20January%2031,%201865%20the%20United%20States%20Congress%20passed%20the%2013th%20Amendment,%20ending%20slavery%20in%20America.%20President%20Lincoln%20would%20not%20live%20to%20see%20the%20final%20ratification%20of%20the%20Amendment.%20He%20was%20assassinated%20on%20April%2014%20and%20a%20shocked%20nation%20mourned%20his%20death.%20%0A%0ACornell%20University%20Library%20marks%20the%20150th%20anniversary%20of%20these%20historic%20events%20with%20an%20exhibition%20featuring%20Cornell%E2%80%99s%20manuscript%20of%20the%2013th%20Amendment%20to%20the%20United%20States%20Constitution--one%20of%20only%2014%20copies%20signed%20by%20Lincoln--together%20with%20other%20rare%20documents%20and%20artifacts%20associated%20with%20Lincoln%E2%80%99s%20funeral.%0A%0AJoin%20us%20on%20September%2019th,%20Homecoming%20Weekend,%20for%20a%20special%20viewing%20of%20this%20exhibit%20and%20%E2%80%9C150%20Ways%20to%20Say%20Cornell%E2%80%9D%20in%20the%20Hirshland%20Gallery.%20Rare%20and%20Manuscript%20Collections%20curators%20will%20offer%20tours%20between%2010%20a.m.%20and%201%20p.m.%0A%0Ahttp://events.cornell.edu/event/lincolns_unfinished_work_5289%0A"">Email this event</a></a></p>","Thu, 17 Sep 2015 09:00:00 -0400","Sep 17, 2015: Lincolns Unfinished Work at Kroch Library",None,"http://events.cornell.edu/event/lincolns_unfinished_work_5289","tag:localist.com,2008:EventInstance_1513880","-76.484535"
